,0
tBodyAcc-std()-Z,0.0003564838390402304
"fBodyAcc-bandsEnergy()-41,48n",0.0003558773749595431
fBodyGyro-mean()-Y,0.00035427561208235933
fBodyGyro-meanFreq()-Y,0.0003534608415928614
"fBodyGyro-bandsEnergy()-33,48n",0.0003525592740025695
"fBodyAccJerk-bandsEnergy()-1,16n",0.0003518629635941447
tBodyGyroMag-energy(),0.0003501808538691927
tBodyAccJerk-entropy()-Y,0.0003498122997403487
"fBodyGyro-bandsEnergy()-25,48",0.0003493639684931905
fBodyBodyGyroMag-energy(),0.0003485550734946109
tBodyAccJerk-energy()-Y,0.0003484146174753983
tBodyGyroJerkMag-arCoeff()1,0.0003472400732058001
"fBodyAcc-bandsEnergy()-1,24n",0.0003455093600761162
tBodyGyroMag-std(),0.0003434660963367736
fBodyGyro-iqr()-X,0.00034146942851768483
"fBodyGyro-bandsEnergy()-17,24",0.00033609042450682183
"fBodyGyro-bandsEnergy()-9,16n",0.0003330541493181826
tBodyGyro-entropy()-Z,0.00032895518200735545
tBodyGyroMag-mean(),0.00032700706008934586
fBodyBodyGyroMag-std(),0.0003265560914284748
fBodyBodyGyroMag-max(),0.0003262945456086439
tBodyAcc-min()-Y,0.0003240523678331018
"fBodyGyro-bandsEnergy()-33,40nn",0.00032383608517383617
fBodyBodyGyroJerkMag-skewness(),0.0003190975269138958
"fBodyGyro-bandsEnergy()-17,32",0.00031899104076507515
fBodyAccJerk-mean()-Z,0.00031752813704338036
fBodyAcc-energy()-Y,0.00031261700777267395
tBodyGyroMag-arCoeff()2,0.00031243422257891786
fBodyAccJerk-energy()-Z,0.0003120389531181886
tBodyAcc-entropy()-Z,0.00031197950954864226
fBodyAccJerk-mad()-X,0.0003092795159348267
"fBodyGyro-bandsEnergy()-9,16nn",0.00030882579286651266
"tBodyAccJerk-arCoeff()-Z,4",0.00030601917503406985
tBodyGyro-min()-Y,0.0003047351441294669
tBodyGyroJerkMag-std(),0.0003030956097199582
"tBodyAcc-arCoeff()-X,1",0.00030271588799823636
tBodyAcc-mean()-Y,0.0003025270185405449
tBodyGyroJerk-entropy()-Z,0.000302273058803317
"fBodyAccJerk-bandsEnergy()-25,32nn",0.0003021680488115755
"tBodyAcc-arCoeff()-X,4",0.0003019506173240252
tBodyGyro-max()-Y,0.00029983571629465524
fBodyBodyGyroJerkMag-mean(),0.000298403542111547
tGravityAcc-entropy()-Z,0.00029742217540551925
fBodyAccJerk-mad()-Z,0.00029560722660208213
"fBodyAccJerk-bandsEnergy()-33,40nn",0.0002951590296821846
fBodyBodyGyroMag-mad(),0.0002948571078978099
tBodyGyro-entropy()-Y,0.00029420421178314777
tBodyAccJerk-min()-Y,0.00029386297290156203
tBodyGyroJerk-energy()-Z,0.00029333932571610604
fBodyAcc-mad()-Y,0.00029290548313046905
fBodyAcc-maxInds-X,0.000289509970393008
fBodyAccMag-skewness(),0.00028809437268916845
"tBodyAcc-arCoeff()-Z,4",0.00028788412115880453
tBodyAccJerk-min()-Z,0.0002877014198434039
"tBodyAccJerk-arCoeff()-Z,3",0.00028708172528194796
"fBodyGyro-bandsEnergy()-17,24n",0.000281953940574668
fBodyAccJerk-mean()-Y,0.00028193529414505654
fBodyGyro-iqr()-Y,0.00028075350061024874
"fBodyGyro-bandsEnergy()-49,56nn",0.00028022750269058845
tBodyAccMag-iqr(),0.0002800269265823805
tBodyGyroMag-iqr(),0.00027374858368438976
"fBodyAccJerk-bandsEnergy()-25,48n",0.0002717418672187866
fBodyBodyGyroMag-skewness(),0.00026987644959680033
tBodyGyroMag-entropy(),0.0002691990035594848
tBodyAcc-min()-X,0.000267052991538441
fBodyBodyAccJerkMag-kurtosis(),0.0002667526499831697
"tBodyAccJerk-arCoeff()-Z,1",0.0002657707402273704
"tBodyAcc-arCoeff()-Y,4",0.00026569894765587557
"fBodyAccJerk-bandsEnergy()-33,40n",0.000263983454670031
tBodyGyroJerk-min()-Y,0.000263908582177932
fBodyAccJerk-entropy()-Z,0.0002631556637292849
"tBodyGyro-arCoeff()-Z,3",0.00026257882607343065
tBodyAcc-max()-Z,0.000262570804367543
"tBodyGyro-arCoeff()-Y,2",0.0002613892914968167
fBodyBodyGyroJerkMag-std(),0.00026109024219184466
tBodyGyroJerkMag-arCoeff()4,0.00025858069269324506
fBodyBodyGyroJerkMag-max(),0.0002548366361256035
fBodyGyro-iqr()-Z,0.0002523985437441423
"tBodyAccJerk-correlation()-X,Z",0.00025238711340986204
fBodyAccJerk-meanFreq()-X,0.0002516614680840685
"fBodyGyro-bandsEnergy()-49,64nn",0.0002510806290560443
"tBodyAccJerk-arCoeff()-Y,4",0.00025025028473363314
fBodyAccJerk-skewness()-Y,0.0002495114616533199
fBodyGyro-min()-Z,0.0002492611998644086
tBodyGyroJerk-max()-Z,0.00024919955719313904
"fBodyAcc-bandsEnergy()-9,16nn",0.00024856719556150275
tBodyGyroJerk-entropy()-Y,0.00024822506912949616
"fBodyGyro-bandsEnergy()-57,64n",0.0002478383138960751
"fBodyAcc-bandsEnergy()-41,48nn",0.0002462895092984409
tBodyGyroJerkMag-entropy(),0.000245920574199888
tBodyAcc-mean()-X,0.0002458659388226059
fBodyAccJerk-iqr()-Z,0.0002455274706249293
fBodyBodyGyroMag-entropy(),0.0002433641059364723
tBodyAccMag-entropy(),0.0002426659938039519
"fBodyAcc-bandsEnergy()-41,48",0.00024265902616096114
tBodyGyroJerk-std()-Z,0.0002419926922028224
fBodyAccJerk-max()-Z,0.00024188620484105291
"tBodyGyroJerk-arCoeff()-Z,2",0.0002411508991001458
"fBodyGyro-bandsEnergy()-33,48nn",0.00024101739366423985
"tBodyAccJerk-arCoeff()-X,3",0.00024008374025353844
tGravityAccMag-arCoeff()4,0.00024005667138882945
fBodyGyro-sma(),0.00023857401068177341
"tBodyAcc-arCoeff()-X,2",0.0002385569834066568
fBodyAcc-sma(),0.00023838979687129693
"fBodyGyro-bandsEnergy()-41,48nn",0.0002370166148254258
tBodyGyroJerk-mean()-Z,0.00023647253981520742
tBodyGyroMag-arCoeff()1,0.00023564997346580928
"fBodyGyro-bandsEnergy()-25,48n",0.00023312341299682986
"fBodyAccJerk-bandsEnergy()-41,48n",0.00023270546986264016
fBodyBodyGyroMag-mean(),0.00023057324210364264
fBodyBodyGyroJerkMag-maxInds,0.00023031502994379433
fBodyBodyGyroMag-min(),0.00022953168428936432
fBodyAcc-maxInds-Y,0.00022905615472372257
tBodyGyroJerkMag-arCoeff()2,0.00022852452235441956
"fBodyAccJerk-bandsEnergy()-17,24",0.00022740579122849616
"tBodyGyroJerk-arCoeff()-Y,4",0.0002262418755751675
"fBodyAcc-bandsEnergy()-25,32n",0.00022605848068064355
tBodyAcc-iqr()-Z,0.0002255383698980111
"fBodyAccJerk-bandsEnergy()-49,64nn",0.00022467885068591835
fBodyBodyGyroJerkMag-meanFreq(),0.0002244136081187554
"fBodyGyro-bandsEnergy()-25,32",0.00022341857772617405
"tBodyAccJerk-arCoeff()-Z,2",0.00022326951607595742
fBodyBodyGyroJerkMag-sma(),0.0002231464063945863
fBodyAccJerk-skewness()-X,0.0002193188181812975
fBodyAccJerk-meanFreq()-Y,0.00021877597870061672
"tBodyAccJerk-arCoeff()-X,1",0.00021866875119800223
tBodyAccJerkMag-arCoeff()3,0.00021824724247444482
"tBodyGyroJerk-arCoeff()-Z,3",0.0002178252165519215
fBodyBodyAccJerkMag-maxInds,0.0002178044059466302
fBodyAccJerk-entropy()-Y,0.0002162593730388212
tBodyAcc-min()-Z,0.0002159519071443669
"tBodyAccJerk-arCoeff()-X,4",0.00021546299349388105
"fBodyAccJerk-bandsEnergy()-25,32n",0.00021510899218114883
fBodyAcc-iqr()-X,0.00021380223620951462
tBodyGyroJerk-iqr()-Y,0.00021369505894513482
"tBodyGyroJerk-arCoeff()-X,2",0.00021359037706273647
fBodyAccJerk-maxInds-Y,0.00021275964556544426
"fBodyGyro-bandsEnergy()-49,56n",0.0002125314012470853
fBodyAcc-maxInds-Z,0.00021039642909835123
tBodyAcc-entropy()-Y,0.00020972713118088405
"tBodyGyro-arCoeff()-Z,1",0.00020950122156681745
fBodyBodyGyroJerkMag-kurtosis(),0.00020911583379718413
fBodyBodyGyroMag-iqr(),0.0002089353018337858
"fBodyAccJerk-bandsEnergy()-25,32",0.00020833800026029214
"tBodyAccJerk-arCoeff()-Y,3",0.00020801971885706433
"fBodyGyro-bandsEnergy()-41,48n",0.00020685331265543006
fBodyBodyGyroMag-kurtosis(),0.00020623409336847676
"tBodyGyroJerk-arCoeff()-Y,2",0.00020615409176165145
"tBodyGyro-arCoeff()-Y,3",0.00020514976910103428
"fBodyAcc-bandsEnergy()-9,16n",0.0002032303770486616
"fBodyAcc-bandsEnergy()-25,48",0.00020273011098286987
fBodyAccJerk-kurtosis()-X,0.00020239462699307828
"fBodyAcc-bandsEnergy()-17,24",0.0002012996672970098
"fBodyAcc-bandsEnergy()-25,48n",0.00019894793782458304
fBodyAcc-min()-X,0.00019793800271222323
tBodyAccMag-min(),0.0001978314671253752
tBodyGyroJerkMag-arCoeff()3,0.00019637074762715234
fBodyAccMag-kurtosis(),0.00019618681872457362
"tBodyGyro-arCoeff()-Z,4",0.00019602540152116919
fBodyAccJerk-iqr()-X,0.00019543926908389291
"fBodyGyro-bandsEnergy()-25,32n",0.0001954251918460557
fBodyAccJerk-skewness()-Z,0.00019505753224113162
"tBodyAccJerk-arCoeff()-Y,1",0.00019455454293832702
"fBodyAccJerk-bandsEnergy()-49,56nn",0.00019100600225778155
"fBodyAcc-bandsEnergy()-33,40nn",0.00018969675829897146
fBodyBodyGyroJerkMag-energy(),0.00018936420341124558
"tBodyAcc-arCoeff()-Y,1",0.0001889818424388853
fBodyAccJerk-kurtosis()-Y,0.0001882420642756565
fBodyAcc-iqr()-Z,0.000187454475647278
fBodyBodyGyroJerkMag-entropy(),0.0001863561672111007
tBodyGyroMag-arCoeff()3,0.0001855108317496409
"tBodyGyro-arCoeff()-Y,4",0.00018494848476422986
"fBodyGyro-bandsEnergy()-49,64n",0.0001839699672342947
tBodyAccJerkMag-arCoeff()2,0.0001806364478591705
"tBodyGyroJerk-arCoeff()-Z,1",0.00018029614676917682
tBodyGyroJerkMag-min(),0.00018025153259898643
"fBodyAccJerk-bandsEnergy()-33,48",0.00018008111746196237
tBodyAccJerkMag-min(),0.00017978969662428275
tBodyGyroJerk-min()-Z,0.00017942573262356726
"tBodyAcc-arCoeff()-Z,3",0.000178246769657153
tGravityAccMag-entropy(),0.00017710862436173079
tBodyGyroMag-arCoeff()4,0.00017688548362741264
"tBodyAcc-arCoeff()-Z,1",0.00017597390603204383
"fBodyAccJerk-bandsEnergy()-57,64nn",0.00017582010494082164
"fBodyAcc-bandsEnergy()-33,48nn",0.00017433548203545372
fBodyGyro-min()-X,0.0001743092717305826
"fBodyAcc-bandsEnergy()-25,48nn",0.000174131620820474
"tBodyGyroJerk-arCoeff()-Y,1",0.00017403191457722645
fBodyAccJerk-kurtosis()-Z,0.00017309988611639984
tBodyAccJerkMag-arCoeff()4,0.00017231590214297925
"tBodyGyroJerk-arCoeff()-Y,3",0.00017170209554430237
fBodyAccMag-min(),0.00016945124390230974
